t_stagein  tot_cpu  tot_wall  tfull t_istn  t_kffpar  t_kffdar
      5    16410    16591   0.8740   0.6001   0.2505   0.0079
      5    16284    16352   0.8628   0.5943   0.2457   0.0072
      5    16431    16580   0.8592   0.5870   0.2491   0.0079
     41    17687    17806   0.9282   0.6349   0.2685   0.0078
     15    16578    16749   0.8816   0.6036   0.2539   0.0079
     11    12544    12598   0.6588   0.4528   0.1875   0.0060
      5    15975    16063   0.8440   0.5789   0.2422   0.0076
      4    15338    15423   0.8133   0.5553   0.2359   0.0075
     10    16590    16625   0.8674   0.5969   0.2488   0.0060
      9    13700    13737   0.7258   0.4997   0.2072   0.0059
     38    15901    16030   0.8428   0.5783   0.2423   0.0062
    148    16156    16267   0.8501   0.5832   0.2432   0.0063
     18    15089    15226   0.7953   0.5446   0.2289   0.0071
      5    12217    12260   0.6401   0.4393   0.1834   0.0054
     19    15042    15164   0.7916   0.5434   0.2272   0.0065
      5    12431    12480   0.6549   0.4491   0.1875   0.0055
     11    12675    12712   0.6699   0.4607   0.1911   0.0056
    141    15995    16103   0.8447   0.5773   0.2439   0.0060
     12    13748    13778   0.7201   0.4967   0.2048   0.0058
      4    15395    15427   0.8198   0.5626   0.2356   0.0068
      6    15656    15715   0.8207   0.5626   0.2365   0.0071
      5    16669    16696   0.8714   0.5991   0.2500   0.0071
     19    16523    16682   0.8670   0.5942   0.2502   0.0062
      3    15440    15482   0.8108   0.5538   0.2356   0.0071
      6    15677    15734   0.8176   0.5612   0.2347   0.0071
      4    16053    16085   0.8435   0.5771   0.2443   0.0072
      4    13228    13259   0.6950   0.4798   0.1971   0.0058
     26    14919    15205   0.7788   0.5323   0.2257   0.0065
      5    15715    15761   0.8227   0.5650   0.2361   0.0070
      5    17252    17294   0.9097   0.6239   0.2623   0.0065
    140    16401    16478   0.8609   0.5883   0.2491   0.0061
      6    15763    15836   0.8349   0.5720   0.2407   0.0071
    130    16194    16313   0.8580   0.5860   0.2474   0.0063
     13    17268    17349   0.8986   0.6142   0.2614   0.0062
     18    16440    16516   0.8642   0.5946   0.2467   0.0062
     22    14826    14975   0.7840   0.5381   0.2246   0.0061
     42    16712    17067   0.8758   0.6016   0.2518   0.0066
     11    15451    15663   0.8154   0.5606   0.2329   0.0067
      3    14408    14434   0.7580   0.5201   0.2188   0.0058
      3    13402    13432   0.7032   0.4851   0.1998   0.0057
